Date,Symbol,Direction,Entry Price,Exit Price,Size,P&L,Setup,Session,Risk,Emotion,Followed Plan,Notes
2026-07-17 08:30:00,XAUUSD,Long,2474.00,2474.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-07-20 08:30:00,NAS100,Short,19805.35,19805.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-07-21 08:30:00,US30,Long,39580.00,39580.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-07-22 08:30:00,BTCUSD,Short,64850.22,64850.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-07-22 12:30:00,EURUSD,Long,1.10160,1.07660,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-07-23 08:30:00,GBPUSD,Short,1.32510,1.27510,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-07-24 08:30:00,XAUUSD,Long,2440.00,2440.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-07-27 08:30:00,NAS100,Short,19543.35,19543.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-07-28 08:30:00,US30,Long,39760.00,39760.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-07-28 12:30:00,BTCUSD,Short,65150.22,65150.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-07-29 08:30:00,EURUSD,Long,1.08580,1.06080,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-07-30 08:30:00,GBPUSD,Short,1.36550,1.28050,1,85,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-07-31 08:30:00,XAUUSD,Long,2406.00,2406.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-07-31 12:30:00,NAS100,Short,19681.35,19681.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-08-03 08:30:00,US30,Long,39940.00,39940.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-08-03 12:30:00,BTCUSD,Short,65450.22,65450.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-08-04 08:30:00,EURUSD,Long,1.09000,1.06500,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-08-05 08:30:00,GBPUSD,Short,1.33590,1.28590,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-08-06 08:30:00,XAUUSD,Long,2472.00,2472.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-08-06 12:30:00,NAS100,Short,19819.35,19819.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-08-07 08:30:00,US30,Long,39620.00,39620.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-08-10 08:30:00,BTCUSD,Short,65750.22,65750.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-08-11 08:30:00,EURUSD,Long,1.09420,1.06920,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-08-12 08:30:00,GBPUSD,Short,1.34130,1.29130,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-08-12 12:30:00,XAUUSD,Long,2438.00,2438.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-08-13 08:30:00,NAS100,Short,19557.35,19557.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-08-14 08:30:00,US30,Long,39800.00,39800.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-08-17 08:30:00,BTCUSD,Short,64050.22,64050.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-08-18 08:30:00,EURUSD,Long,1.09840,1.07340,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-08-18 12:30:00,GBPUSD,Short,1.34670,1.29670,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-08-19 08:30:00,XAUUSD,Long,2404.00,2404.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-08-20 08:30:00,NAS100,Short,19695.35,19695.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-08-21 08:30:00,US30,Long,39980.00,39980.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-08-21 12:30:00,BTCUSD,Short,64350.22,64350.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-08-24 08:30:00,EURUSD,Long,1.10260,1.07760,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-08-24 12:30:00,GBPUSD,Short,1.32710,1.27710,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-08-25 08:30:00,XAUUSD,Long,2470.00,2470.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-08-26 08:30:00,NAS100,Short,19833.35,19833.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-08-27 08:30:00,US30,Long,39660.00,39660.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-08-27 12:30:00,BTCUSD,Short,64650.22,64650.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-08-28 08:30:00,EURUSD,Long,1.08680,1.06180,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
